time,n_maps,n_reduces,n_shuffles
230.33800,44,0,54
230.45500,43,0,54
230.79200,42,0,54
231.15500,42,0,54
231.16900,43,0,54
231.17300,44,0,54
231.18100,45,0,54
231.19100,46,0,54
231.20700,47,0,54
237.41800,47,0,54
237.85300,46,0,54
237.92500,45,0,54
238.27800,44,0,54
238.54800,43,0,54
239.11300,42,0,54
239.39500,41,0,54
239.44100,40,0,54
239.53500,39,0,54
240.07600,38,0,54
240.12900,38,0,54
240.13700,39,0,54
240.14100,40,0,54
240.14400,41,0,54
240.14800,42,0,54
240.16500,43,0,54
240.16900,44,0,54
240.19200,45,0,54
240.20300,46,0,54
240.41900,46,0,54
240.85500,45,0,54
240.92600,44,0,54
241.27900,43,0,54
241.54900,42,0,54
242.11500,41,0,54
242.39600,40,0,54
242.44200,39,0,54
242.53600,38,0,54
243.07700,37,0,54
243.13000,37,0,54
243.13800,38,0,54
243.14200,39,0,54
243.15000,40,0,54
243.16700,41,0,54
243.17000,42,0,54
243.19300,43,0,54
243.20400,44,0,54
249.61200,44,0,54
251.70300,43,0,54
252.20400,43,0,54
252.21200,44,0,54
252.61300,44,0,54
254.70400,43,0,54
255.20600,43,0,54
255.21300,44,0,54
261.30500,44,0,54
261.52900,43,0,54
261.76700,42,0,54
264.16300,42,0,54
264.22400,43,0,54
264.30700,43,0,54
264.53000,42,0,54
264.76800,41,0,54
267.16400,41,0,54
267.22500,42,0,54
269.87800,42,0,54
270.20300,42,0,54
272.87900,42,0,54
273.20400,42,0,54
282.22200,42,0,54
282.42600,41,0,54
282.42600,41,0,54
282.83400,39,0,54
283.25300,38,0,54
284.36100,37,0,54
284.47800,36,0,54
284.81500,35,0,54
285.17800,35,0,54
285.19300,36,0,54
285.19600,37,0,54
285.20400,38,0,54
285.21500,39,0,54
285.22400,39,0,54
285.23000,39,0,54
285.42700,39,0,54
285.42700,39,0,54
285.83500,37,0,54
286.25400,36,0,54
287.36200,35,0,54
287.81700,34,0,54
288.18000,34,0,54
288.19400,35,0,54
288.19800,36,0,54
288.20600,37,0,54
288.21600,38,0,54
288.23200,39,0,54
297.87900,39,0,54
297.95100,38,0,54
298.30400,37,0,54
298.57400,36,0,54
299.13900,35,0,54
299.42100,34,0,54
299.46700,33,0,54
299.56100,32,0,54
300.10200,31,0,54
300.15500,31,0,54
300.16300,32,0,54
300.16700,33,0,54
300.95200,33,0,54
301.30500,32,0,54
301.57500,31,0,54
302.14100,30,0,54
302.42200,29,0,54
302.46800,28,0,54
302.56300,27,0,54
303.10300,26,0,54
312.63900,25,0,54
314.73000,24,0,54
315.64100,23,0,54
317.73200,22,0,54
323.90100,21,0,54
324.17300,21,0,54
326.90200,21,0,54
327.55700,20,0,54
327.79600,19,0,54
330.19100,19,0,54
330.55900,19,0,54
330.79700,18,0,54
339.24700,17,0,54
339.45000,16,0,54
339.85900,15,0,54
340.27800,14,0,54
341.38600,13,0,54
341.84000,12,0,54
342.24800,11,0,54
342.45200,10,0,54
342.86000,9,0,54
343.27900,8,0,54
344.32700,7,1,54
344.38700,7,1,53
344.56800,6,2,53
344.84100,6,2,52
344.85300,5,3,52
344.94900,5,4,51
345.05700,5,5,50
345.16100,5,6,49
345.21100,5,7,48
345.25200,5,8,47
345.25600,5,9,46
345.42200,5,10,45
345.54100,5,11,44
345.57900,5,12,43
345.58800,5,13,42
345.61600,5,14,41
345.63900,5,15,40
345.72900,5,16,39
345.80000,5,17,38
345.81800,5,18,37
345.84600,5,19,36
345.92500,5,20,35
346.09400,5,21,34
346.10500,5,22,33
347.61200,5,23,32
347.76700,5,24,31
347.93700,5,25,30
347.97600,5,26,29
348.00200,5,27,28
348.04400,5,28,27
348.15200,5,29,26
348.26700,5,30,25
348.35300,5,31,24
348.38200,5,32,23
348.63300,5,33,22
348.66500,5,34,21
348.69800,5,35,20
348.79400,5,36,19
348.89200,5,37,18
348.91800,5,38,17
349.03200,5,39,16
349.08700,5,40,15
349.10900,5,41,14
349.23000,5,42,13
349.25300,5,43,12
349.34700,5,44,11
363.08100,5,44,10
367.16300,4,44,10
367.27800,4,43,10
367.27900,4,42,10
367.66500,4,41,10
367.69200,4,40,10
367.90500,4,39,10
367.94700,4,38,10
367.95700,4,37,10
368.24600,4,36,10
368.51000,4,35,10
368.52100,4,34,10
368.95400,4,33,10
369.03900,4,32,10
369.20000,4,31,11
369.20400,4,31,12
369.21100,4,31,13
369.21500,4,31,14
369.22100,4,31,15
369.22500,4,31,16
369.22900,4,31,17
369.23300,4,31,18
369.23700,4,31,19
369.24100,4,31,20
369.24600,4,31,21
369.25100,4,31,22
369.26700,4,31,23
369.47700,4,31,23
369.49900,4,30,23
370.01800,4,29,23
370.47600,4,28,23
370.51100,4,27,23
370.52700,4,26,23
370.53400,4,25,23
370.54000,4,24,23
370.59100,4,23,23
370.82900,4,22,23
371.07000,4,21,23
371.19800,4,20,23
371.25600,4,19,23
371.35600,4,18,23
371.42800,4,17,23
371.53900,4,16,23
371.63600,4,15,23
371.77600,4,14,23
371.85500,3,14,23
371.91900,3,13,23
372.20200,3,12,24
372.20600,3,12,25
372.21200,3,12,26
372.21600,3,12,27
372.22000,3,12,28
372.22200,3,12,29
372.22600,3,12,30
372.41300,3,12,30
372.66100,3,11,30
372.79700,3,10,30
373.42400,3,9,30
373.53200,3,8,30
373.80500,3,7,30
374.44300,3,6,30
375.99600,3,5,30
379.19600,3,6,30
379.19600,3,6,30
380.27800,3,8,28
380.27800,3,8,28
380.92400,3,10,26
380.92400,3,10,26
381.42700,3,10,24
381.73900,3,11,24
381.73900,3,11,24
382.05500,3,13,22
382.05500,3,13,22
382.10200,3,15,20
382.10200,3,15,20
382.51000,3,17,18
382.51000,3,17,18
382.54800,3,19,16
382.54800,3,19,16
382.56700,3,21,14
382.56700,3,21,14
382.57300,3,23,12
382.57300,3,23,12
382.87800,3,24,10
383.19500,3,25,9
383.22100,3,26,8
383.46800,3,27,7
383.51300,3,28,6
383.66100,3,29,5
383.66900,3,30,4
383.77500,3,31,3
384.50100,3,32,2
384.50300,3,33,1
384.83100,3,33,0
385.43000,3,32,0
387.62000,3,31,0
400.33800,3,30,0
400.33800,3,30,0
402.29100,1,30,0
402.29100,1,30,0
403.45500,1,28,0
403.45500,1,28,0
403.72400,1,26,0
403.72400,1,26,0
404.26000,1,24,0
404.26000,1,24,0
404.26500,1,22,0
404.26500,1,22,0
404.35700,1,20,0
404.53800,1,19,0
404.53800,1,19,0
404.84900,1,17,0
405.07200,0,17,0
405.20500,0,16,0
405.20500,0,16,0
405.22100,0,14,0
405.44100,0,13,0
405.44100,0,13,0
405.47900,0,11,0
405.47900,0,11,0
405.76500,0,9,0
405.76500,0,9,0
406.20000,0,7,0
406.56200,0,6,0
406.98400,0,5,0
407.47800,0,4,0
407.49500,0,3,0
407.75700,0,2,0
408.92500,0,1,0
